0.142,    0.0994,   0.0451,    0.312 
0.177,    0.0944,   0.0446,    0.375
0.216,    0.0885,   0.0436,    0.438
0.255,    0.0829,   0.0427,    0.495
0.289,    0.0770,   0.0414,    0.537
0.325,    0.0719,   0.0407,    0.574
0.361,    0.0652,   0.0392,    0.600
0.399,    0.0582,   0.0375,    0.620
0.438,    0.0502,   0.0352,    0.624
0.468,    0.0441,   0.0335,    0.615
0.510,    0.0343,   0.0308,    0.567
0.534,    0.0288,   0.0292,    0.526
0.577,    0.0178,   0.0258,    0.398
0.612,    0.0083,   0.0228,    0.222
0.647,   -0.0011,   0.0199,   -0.036
0.685,   -0.0122,   0.0162,   -0.513
0.719,   -0.0218,   0.0130,   -1.204
