%J       CT       CP       eta
0.115,   0.1077,   0.0476,   0.259
0.143,   0.1038,   0.0472,   0.314
0.172,   0.0993,   0.0465,   0.368
0.199,   0.0953,   0.0459,   0.414
0.231,   0.0908,   0.0452,   0.463
0.262,   0.0856,   0.0442,   0.508
0.289,   0.0811,   0.0433,   0.542
0.318,   0.0766,   0.0426,   0.573
0.349,   0.0709,   0.0413,   0.600
0.376,   0.0660,   0.0401,   0.620
0.408,   0.0597,   0.0383,   0.635
0.432,   0.0549,   0.0370,   0.641
0.460,   0.0486,   0.0351,   0.637
0.487,   0.0428,   0.0334,   0.623
0.519,   0.0352,   0.0312,   0.586
0.547,   0.0280,   0.0291,   0.528
0.576,   0.0206,   0.0268,   0.443
