%J       CT       CP       eta
0.378,    0.0698,   0.0422,   0.625
0.400,    0.0654,   0.0409,   0.639
0.420,    0.0616,   0.0398,   0.650
0.440,    0.0570,   0.0383,   0.655
0.465,    0.0517,   0.0367,   0.656
0.486,    0.0469,   0.0351,   0.648
0.507,    0.0420,   0.0336,   0.632
0.531,    0.0359,   0.0318,   0.600
0.551,    0.0306,   0.0302,   0.560
0.579,    0.0229,   0.0277,   0.480
0.599,    0.0176,   0.0260,   0.406
0.618,    0.0120,   0.0242,   0.307
0.646,    0.0044,   0.0217,   0.130
0.665,   -0.0012,   0.0197,   -0.042
0.691,   -0.0089,   0.0172,   -0.359
0.708,   -0.0139,   0.0155,   -0.634
0.735,   -0.0219,   0.0128,   -1.257
0.755,   -0.0281,   0.0106,   -2.001
