%J       CT       CP       eta
0.408,    0.0624,   0.0397,   0.641
0.432,    0.0576,   0.0383,   0.649
0.458,    0.0519,   0.0366,   0.650
0.480,    0.0471,   0.0351,   0.645
0.507,    0.0405,   0.0331,   0.622
0.528,    0.0354,   0.0315,   0.594
0.551,    0.0296,   0.0297,   0.549
0.574,    0.0235,   0.0279,   0.484
0.601,    0.0160,   0.0254,   0.378
0.623,    0.0100,   0.0234,   0.265
0.652,    0.0017,   0.0207,   0.052
0.671,   -0.0039,   0.0189,   -0.139
0.700,   -0.0123,   0.0160,   -0.540
0.719,   -0.0178,   0.0141,   -0.906
0.747,   -0.0265,   0.0112,   -1.773
0.774,   -0.0347,   0.0085,   -3.171
